ffo_bat_usage_niveau_1_txt;dpe_apres;sum_batiment;sum_logement;sum_shab;sum_sloc;sum_s_geom_groupe
Collective_dwelling;A;763845;6659260;366761921;499056800;186636890
Collective_dwelling;B;146058;2864890;182850590;240197306;68495369
Collective_dwelling;C;524355;5930178;357895788;470137364;148050455
Collective_dwelling;D;6782;31797;1128668;1669961;2354233
Collective_dwelling;E;156;620;35021;56156;463930
Collective_dwelling;F;48;162;9161;12843;351384
Collective_dwelling;G;31;93;2803;4208;175887
Individual_dwelling;A;9163277;10027563;1053875839;1728807115;1140705706
Individual_dwelling;B;1441787;1687276;196804414;308659088;208687965
Individual_dwelling;C;6873612;7415577;730727379;1258830039;774400793
Individual_dwelling;D;19176;20957;1142680;2349136;7339115
Individual_dwelling;E;1486;1715;109702;220441;2936677
Individual_dwelling;F;715;816;55927;117298;2544172
Individual_dwelling;G;424;493;20378;59129;3156661
