;;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Collective_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling;Individual_dwelling
;;A;B;C;D;E;F;G;A;B;C;D;E;F;G
Collective_dwelling;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;D;31701278;35441809;144353956;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;E;2851182;3304971;65606771;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;F;173836;333193;18895573;0;0;0;0;0;0;0;0;0;0;0
Collective_dwelling;G;11844;35047;3800095;0;0;0;0;0;0;0;0;0;0;0
Individual_dwelling;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Individual_dwelling;B;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Individual_dwelling;C;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Individual_dwelling;D;0;0;0;0;0;0;0;162961773;28288929;276205599;0;0;0;0
Individual_dwelling;E;0;0;0;0;0;0;0;19834002;4139768;83777869;0;0;0;0
Individual_dwelling;F;0;0;0;0;0;0;0;1228269;1230321;30097274;0;0;0;0
Individual_dwelling;G;0;0;0;0;0;0;0;74416;86803;10575704;0;0;0;0
